Condition,Implementation_DataType,Average_Time_ms,Sample_Count
DELETE,chunk__DECIMAL,0.002,970
COMPLEX_UPDATE,chunk__DECIMAL,0.003,100
SEQUENTIAL_TEST,chunk__DECIMAL,0.001,1000
UNKNOWN_CONDITION,chunk__DECIMAL,0.524,100
RANGE_TEST,chunk__DECIMAL,0.262,100
UPDATE,chunk__DECIMAL,0.004,2900
INSERT,chunk__DECIMAL,0.004,3117
COMPLEX_DELETE,chunk__DECIMAL,0.001,100
FREQUENCY_TEST,chunk__DECIMAL,0.002,10000
SELECT,chunk__DECIMAL,0.002,4013
COMPLEX_SELECT,chunk__DECIMAL,0.001,100
DELETE,chunk__DECIMAL,0.002,979
COMPLEX_UPDATE,chunk__DECIMAL,0.003,100
SEQUENTIAL_TEST,chunk__DECIMAL,0.001,1000
UNKNOWN_CONDITION,chunk__DECIMAL,0.473,100
RANGE_TEST,chunk__DECIMAL,0.303,100
UPDATE,chunk__DECIMAL,0.003,3070
INSERT,chunk__DECIMAL,0.002,2986
COMPLEX_DELETE,chunk__DECIMAL,0.001,100
FREQUENCY_TEST,chunk__DECIMAL,0.002,10000
SELECT,chunk__DECIMAL,0.001,3965
COMPLEX_SELECT,chunk__DECIMAL,0.001,100
DELETE,chunk__DECIMAL,0.002,977
COMPLEX_UPDATE,chunk__DECIMAL,0.003,100
SEQUENTIAL_TEST,chunk__DECIMAL,0.001,1000
UNKNOWN_CONDITION,chunk__DECIMAL,0.512,100
RANGE_TEST,chunk__DECIMAL,0.236,100
UPDATE,chunk__DECIMAL,0.003,3048
INSERT,chunk__DECIMAL,0.002,3000
COMPLEX_DELETE,chunk__DECIMAL,0.001,100
FREQUENCY_TEST,chunk__DECIMAL,0.002,10000
SELECT,chunk__DECIMAL,0.001,3975
COMPLEX_SELECT,chunk__BOOLEAN,0.510,100
DELETE,chunk__BOOLEAN,0.521,980
COMPLEX_UPDATE,chunk__BOOLEAN,0.670,100
SEQUENTIAL_TEST,chunk__BOOLEAN,0.002,1000
RANGE_TEST,chunk__BOOLEAN,0.129,100
UPDATE,chunk__BOOLEAN,0.562,3077
INSERT,chunk__BOOLEAN,0.003,3035
COMPLEX_DELETE,chunk__BOOLEAN,0.645,100
FREQUENCY_TEST,chunk__BOOLEAN,0.002,10000
BOOLEAN_CONDITION,chunk__BOOLEAN,2.313,100
