Condition,Implementation_DataType,Average_Time_ms,Sample_Count
COMPLEX_SELECT,lfu__BOOLEAN,1.039,100
DELETE,lfu__BOOLEAN,0.052,1025
COMPLEX_UPDATE,lfu__BOOLEAN,0.060,100
SEQUENTIAL_TEST,lfu__BOOLEAN,0.046,1000
RANGE_TEST,lfu__BOOLEAN,0.072,100
UPDATE,lfu__BOOLEAN,0.059,2973
INSERT,lfu__BOOLEAN,0.003,3023
COMPLEX_DELETE,lfu__BOOLEAN,0.055,100
FREQUENCY_TEST,lfu__BOOLEAN,0.008,10000
BOOLEAN_CONDITION,lfu__BOOLEAN,3.870,100
SELECT,lfu__BOOLEAN,0.853,3979
COMPLEX_SELECT,lfu__BOOLEAN,1.355,100
DELETE,lfu__BOOLEAN,0.053,1005
COMPLEX_UPDATE,lfu__BOOLEAN,0.056,100
SEQUENTIAL_TEST,lfu__BOOLEAN,0.043,1000
RANGE_TEST,lfu__BOOLEAN,0.072,100
UPDATE,lfu__BOOLEAN,0.060,2918
INSERT,lfu__BOOLEAN,0.003,2985
COMPLEX_DELETE,lfu__BOOLEAN,0.057,100
FREQUENCY_TEST,lfu__BOOLEAN,0.008,10000
BOOLEAN_CONDITION,lfu__BOOLEAN,3.953,100
SELECT,lfu__BOOLEAN,0.850,4092
COMPLEX_SELECT,lfu__DATE,1.217,100
DELETE,lfu__DATE,0.053,983
COMPLEX_UPDATE,lfu__DATE,0.063,100
SEQUENTIAL_TEST,lfu__DATE,0.055,1000
DATE_CONDITION,lfu__DATE,3.917,100
RANGE_TEST,lfu__DATE,0.086,100
UPDATE,lfu__DATE,0.058,2962
INSERT,lfu__DATE,0.003,3028
COMPLEX_DELETE,lfu__DATE,0.048,100
FREQUENCY_TEST,lfu__DATE,0.009,10000
SELECT,lfu__DATE,0.865,4027
COMPLEX_SELECT,lfu__DATE,1.395,100
DELETE,lfu__DATE,0.055,1026
COMPLEX_UPDATE,lfu__DATE,0.075,100
SEQUENTIAL_TEST,lfu__DATE,0.096,1000
DATE_CONDITION,lfu__DATE,3.885,100
RANGE_TEST,lfu__DATE,0.082,100
UPDATE,lfu__DATE,0.059,2938
INSERT,lfu__DATE,0.003,2985
COMPLEX_DELETE,lfu__DATE,0.037,100
FREQUENCY_TEST,lfu__DATE,0.011,10000
SELECT,lfu__DATE,0.880,4051
COMPLEX_SELECT,lfu__DATE,1.194,100
DELETE,lfu__DATE,0.055,970
COMPLEX_UPDATE,lfu__DATE,0.055,100
SEQUENTIAL_TEST,lfu__DATE,0.041,1000
DATE_CONDITION,lfu__DATE,3.994,100
RANGE_TEST,lfu__DATE,0.075,100
UPDATE,lfu__DATE,0.057,3021
INSERT,lfu__DATE,0.003,3075
COMPLEX_DELETE,lfu__DATE,0.052,100
FREQUENCY_TEST,lfu__DATE,0.010,10000
SELECT,lfu__DATE,0.870,3934
COMPLEX_SELECT,forest__SMALL_STRING,0.002,100
DELETE,forest__SMALL_STRING,0.004,1032
COMPLEX_UPDATE,forest__SMALL_STRING,0.006,100
SEQUENTIAL_TEST,forest__SMALL_STRING,0.003,1000
UNKNOWN_CONDITION,forest__SMALL_STRING,0.416,100
RANGE_TEST,forest__SMALL_STRING,0.141,100
UPDATE,forest__SMALL_STRING,0.006,2910
INSERT,forest__SMALL_STRING,0.004,3032
COMPLEX_DELETE,forest__SMALL_STRING,0.003,100
FREQUENCY_TEST,forest__SMALL_STRING,0.003,10000
SELECT,forest__SMALL_STRING,0.003,4026
COMPLEX_SELECT,forest__SMALL_STRING,0.002,100
DELETE,forest__SMALL_STRING,0.004,984
COMPLEX_UPDATE,forest__SMALL_STRING,0.005,100
SEQUENTIAL_TEST,forest__SMALL_STRING,0.002,1000
UNKNOWN_CONDITION,forest__SMALL_STRING,0.329,100
RANGE_TEST,forest__SMALL_STRING,0.100,100
UPDATE,forest__SMALL_STRING,0.005,3082
INSERT,forest__SMALL_STRING,0.003,2946
COMPLEX_DELETE,forest__SMALL_STRING,0.003,100
FREQUENCY_TEST,forest__SMALL_STRING,0.002,10000
SELECT,forest__SMALL_STRING,0.002,3988
COMPLEX_SELECT,forest__SMALL_STRING,0.002,100
DELETE,forest__SMALL_STRING,0.005,1029
COMPLEX_UPDATE,forest__SMALL_STRING,0.006,100
SEQUENTIAL_TEST,forest__SMALL_STRING,0.002,1000
UNKNOWN_CONDITION,forest__SMALL_STRING,0.287,100
RANGE_TEST,forest__SMALL_STRING,0.219,100
UPDATE,forest__SMALL_STRING,0.007,2977
INSERT,forest__SMALL_STRING,0.004,3018
COMPLEX_DELETE,forest__SMALL_STRING,0.003,100
FREQUENCY_TEST,forest__SMALL_STRING,0.002,10000
SELECT,forest__SMALL_STRING,0.003,3976
COMPLEX_SELECT,forest__MEDIUM_STRING,0.003,100
DELETE,forest__MEDIUM_STRING,0.005,986
COMPLEX_UPDATE,forest__MEDIUM_STRING,0.005,100
SEQUENTIAL_TEST,forest__MEDIUM_STRING,0.002,1000
UNKNOWN_CONDITION,forest__MEDIUM_STRING,0.364,100
RANGE_TEST,forest__MEDIUM_STRING,0.108,100
UPDATE,forest__MEDIUM_STRING,0.008,2923
INSERT,forest__MEDIUM_STRING,0.006,3057
COMPLEX_DELETE,forest__MEDIUM_STRING,0.002,100
FREQUENCY_TEST,forest__MEDIUM_STRING,0.003,10000
SELECT,forest__MEDIUM_STRING,0.003,4034
COMPLEX_SELECT,forest__MEDIUM_STRING,0.002,100
DELETE,forest__MEDIUM_STRING,0.004,981
COMPLEX_UPDATE,forest__MEDIUM_STRING,0.005,100
SEQUENTIAL_TEST,forest__MEDIUM_STRING,0.002,1000
UNKNOWN_CONDITION,forest__MEDIUM_STRING,0.303,100
RANGE_TEST,forest__MEDIUM_STRING,0.111,100
UPDATE,forest__MEDIUM_STRING,0.006,3045
INSERT,forest__MEDIUM_STRING,0.004,2985
COMPLEX_DELETE,forest__MEDIUM_STRING,0.003,100
FREQUENCY_TEST,forest__MEDIUM_STRING,0.003,10000
SELECT,forest__MEDIUM_STRING,0.002,3989
COMPLEX_SELECT,forest__MEDIUM_STRING,0.002,100
DELETE,forest__MEDIUM_STRING,0.003,1064
COMPLEX_UPDATE,forest__MEDIUM_STRING,0.006,100
SEQUENTIAL_TEST,forest__MEDIUM_STRING,0.002,1000
UNKNOWN_CONDITION,forest__MEDIUM_STRING,0.324,100
RANGE_TEST,forest__MEDIUM_STRING,0.108,100
UPDATE,forest__MEDIUM_STRING,0.006,3032
INSERT,forest__MEDIUM_STRING,0.004,2934
COMPLEX_DELETE,forest__MEDIUM_STRING,0.003,100
FREQUENCY_TEST,forest__MEDIUM_STRING,0.004,10000
SELECT,forest__MEDIUM_STRING,0.002,3970
COMPLEX_SELECT,forest__LARGE_STRING,0.004,100
DELETE,forest__LARGE_STRING,0.005,979
COMPLEX_UPDATE,forest__LARGE_STRING,0.012,100
SEQUENTIAL_TEST,forest__LARGE_STRING,0.001,1000
UNKNOWN_CONDITION,forest__LARGE_STRING,0.513,100
RANGE_TEST,forest__LARGE_STRING,0.148,100
UPDATE,forest__LARGE_STRING,0.012,2982
INSERT,forest__LARGE_STRING,0.008,3002
COMPLEX_DELETE,forest__LARGE_STRING,0.005,100
FREQUENCY_TEST,forest__LARGE_STRING,0.002,10000
SELECT,forest__LARGE_STRING,0.004,4037
COMPLEX_SELECT,forest__LARGE_STRING,0.003,100
DELETE,forest__LARGE_STRING,0.005,1059
COMPLEX_UPDATE,forest__LARGE_STRING,0.011,100
SEQUENTIAL_TEST,forest__LARGE_STRING,0.002,1000
UNKNOWN_CONDITION,forest__LARGE_STRING,0.333,100
RANGE_TEST,forest__LARGE_STRING,0.349,100
UPDATE,forest__LARGE_STRING,0.013,2844
INSERT,forest__LARGE_STRING,0.008,3019
COMPLEX_DELETE,forest__LARGE_STRING,0.004,100
FREQUENCY_TEST,forest__LARGE_STRING,0.002,10000
SELECT,forest__LARGE_STRING,0.004,4078
COMPLEX_SELECT,forest__LARGE_STRING,0.004,100
DELETE,forest__LARGE_STRING,0.005,1058
COMPLEX_UPDATE,forest__LARGE_STRING,0.012,100
SEQUENTIAL_TEST,forest__LARGE_STRING,0.003,1000
UNKNOWN_CONDITION,forest__LARGE_STRING,0.354,100
RANGE_TEST,forest__LARGE_STRING,0.398,100
UPDATE,forest__LARGE_STRING,0.012,2954
INSERT,forest__LARGE_STRING,0.008,3021
COMPLEX_DELETE,forest__LARGE_STRING,0.004,100
FREQUENCY_TEST,forest__LARGE_STRING,0.002,10000
SELECT,forest__LARGE_STRING,0.004,3967
COMPLEX_SELECT,forest__SMALL_INTEGER,0.073,100
DELETE,forest__SMALL_INTEGER,0.098,968
COMPLEX_UPDATE,forest__SMALL_INTEGER,0.094,100
SEQUENTIAL_TEST,forest__SMALL_INTEGER,0.001,1000
RANGE_TEST,forest__SMALL_INTEGER,0.095,100
UPDATE,forest__SMALL_INTEGER,0.092,3043
INSERT,forest__SMALL_INTEGER,0.002,3010
COMPLEX_DELETE,forest__SMALL_INTEGER,0.076,100
FREQUENCY_TEST,forest__SMALL_INTEGER,0.002,10000
GREATER_THAN_CONDITION,forest__SMALL_INTEGER,0.006,100
SELECT,forest__SMALL_INTEGER,0.092,3979
COMPLEX_SELECT,forest__SMALL_INTEGER,0.097,100
DELETE,forest__SMALL_INTEGER,0.077,950
COMPLEX_UPDATE,forest__SMALL_INTEGER,0.118,100
SEQUENTIAL_TEST,forest__SMALL_INTEGER,0.002,1000
RANGE_TEST,forest__SMALL_INTEGER,0.094,100
UPDATE,forest__SMALL_INTEGER,0.075,3036
INSERT,forest__SMALL_INTEGER,0.001,3005
COMPLEX_DELETE,forest__SMALL_INTEGER,0.111,100
FREQUENCY_TEST,forest__SMALL_INTEGER,0.003,10000
GREATER_THAN_CONDITION,forest__SMALL_INTEGER,0.004,100
SELECT,forest__SMALL_INTEGER,0.080,4009
COMPLEX_SELECT,forest__SMALL_INTEGER,0.092,100
DELETE,forest__SMALL_INTEGER,0.072,1019
COMPLEX_UPDATE,forest__SMALL_INTEGER,0.091,100
SEQUENTIAL_TEST,forest__SMALL_INTEGER,0.002,1000
RANGE_TEST,forest__SMALL_INTEGER,0.096,100
UPDATE,forest__SMALL_INTEGER,0.079,2901
INSERT,forest__SMALL_INTEGER,0.001,3091
COMPLEX_DELETE,forest__SMALL_INTEGER,0.105,100
FREQUENCY_TEST,forest__SMALL_INTEGER,0.002,10000
GREATER_THAN_CONDITION,forest__SMALL_INTEGER,0.004,100
SELECT,forest__SMALL_INTEGER,0.075,3989
COMPLEX_SELECT,forest__LARGE_INTEGER,0.109,100
DELETE,forest__LARGE_INTEGER,0.080,967
COMPLEX_UPDATE,forest__LARGE_INTEGER,0.101,100
SEQUENTIAL_TEST,forest__LARGE_INTEGER,0.001,1000
RANGE_TEST,forest__LARGE_INTEGER,0.215,100
UPDATE,forest__LARGE_INTEGER,0.083,3009
INSERT,forest__LARGE_INTEGER,0.002,2992
COMPLEX_DELETE,forest__LARGE_INTEGER,0.109,100
FREQUENCY_TEST,forest__LARGE_INTEGER,0.002,10000
GREATER_THAN_CONDITION,forest__LARGE_INTEGER,0.003,100
SELECT,forest__LARGE_INTEGER,0.080,4032
COMPLEX_SELECT,forest__LARGE_INTEGER,0.079,100
DELETE,forest__LARGE_INTEGER,0.060,1011
COMPLEX_UPDATE,forest__LARGE_INTEGER,0.091,100
SEQUENTIAL_TEST,forest__LARGE_INTEGER,0.001,1000
RANGE_TEST,forest__LARGE_INTEGER,0.089,100
UPDATE,forest__LARGE_INTEGER,0.063,3025
INSERT,forest__LARGE_INTEGER,0.001,2952
COMPLEX_DELETE,forest__LARGE_INTEGER,0.082,100
FREQUENCY_TEST,forest__LARGE_INTEGER,0.003,10000
GREATER_THAN_CONDITION,forest__LARGE_INTEGER,0.003,100
SELECT,forest__LARGE_INTEGER,0.062,4012
COMPLEX_SELECT,forest__LARGE_INTEGER,0.102,100
DELETE,forest__LARGE_INTEGER,0.082,992
COMPLEX_UPDATE,forest__LARGE_INTEGER,0.120,100
SEQUENTIAL_TEST,forest__LARGE_INTEGER,0.001,1000
RANGE_TEST,forest__LARGE_INTEGER,0.089,100
UPDATE,forest__LARGE_INTEGER,0.079,3034
INSERT,forest__LARGE_INTEGER,0.001,2985
COMPLEX_DELETE,forest__LARGE_INTEGER,0.121,100
FREQUENCY_TEST,forest__LARGE_INTEGER,0.002,10000
GREATER_THAN_CONDITION,forest__LARGE_INTEGER,0.003,100
SELECT,forest__LARGE_INTEGER,0.080,3989
COMPLEX_SELECT,forest__DECIMAL,0.002,100
DELETE,forest__DECIMAL,0.002,1054
COMPLEX_UPDATE,forest__DECIMAL,0.003,100
SEQUENTIAL_TEST,forest__DECIMAL,0.002,1000
UNKNOWN_CONDITION,forest__DECIMAL,0.374,100
RANGE_TEST,forest__DECIMAL,0.144,100
UPDATE,forest__DECIMAL,0.004,2958
INSERT,forest__DECIMAL,0.003,3003
COMPLEX_DELETE,forest__DECIMAL,0.002,100
FREQUENCY_TEST,forest__DECIMAL,0.003,10000
SELECT,forest__DECIMAL,0.002,3985
COMPLEX_SELECT,forest__DECIMAL,0.002,100
DELETE,forest__DECIMAL,0.003,1005
COMPLEX_UPDATE,forest__DECIMAL,0.004,100
SEQUENTIAL_TEST,forest__DECIMAL,0.002,1000
UNKNOWN_CONDITION,forest__DECIMAL,0.434,100
RANGE_TEST,forest__DECIMAL,0.162,100
UPDATE,forest__DECIMAL,0.004,3011
INSERT,forest__DECIMAL,0.003,3010
COMPLEX_DELETE,forest__DECIMAL,0.002,100
FREQUENCY_TEST,forest__DECIMAL,0.002,10000
SELECT,forest__DECIMAL,0.002,3974
COMPLEX_SELECT,forest__DECIMAL,0.002,100
DELETE,forest__DECIMAL,0.002,914
COMPLEX_UPDATE,forest__DECIMAL,0.003,100
SEQUENTIAL_TEST,forest__DECIMAL,0.002,1000
UNKNOWN_CONDITION,forest__DECIMAL,0.332,100
RANGE_TEST,forest__DECIMAL,0.151,100
UPDATE,forest__DECIMAL,0.003,2939
INSERT,forest__DECIMAL,0.002,3074
COMPLEX_DELETE,forest__DECIMAL,0.002,100
FREQUENCY_TEST,forest__DECIMAL,0.002,10000
SELECT,forest__DECIMAL,0.001,4073
COMPLEX_SELECT,forest__BOOLEAN,0.002,100
DELETE,forest__BOOLEAN,0.006,994
COMPLEX_UPDATE,forest__BOOLEAN,0.004,100
SEQUENTIAL_TEST,forest__BOOLEAN,0.002,1000
RANGE_TEST,forest__BOOLEAN,0.124,100
UPDATE,forest__BOOLEAN,0.009,3006
INSERT,forest__BOOLEAN,0.003,2980
COMPLEX_DELETE,forest__BOOLEAN,0.003,100
FREQUENCY_TEST,forest__BOOLEAN,0.002,10000
BOOLEAN_CONDITION,forest__BOOLEAN,0.002,100
SELECT,forest__BOOLEAN,0.005,4020
COMPLEX_SELECT,forest__BOOLEAN,0.002,100
DELETE,forest__BOOLEAN,0.008,1001
COMPLEX_UPDATE,forest__BOOLEAN,0.003,100
SEQUENTIAL_TEST,forest__BOOLEAN,0.001,1000
RANGE_TEST,forest__BOOLEAN,0.088,100
UPDATE,forest__BOOLEAN,0.007,3000
INSERT,forest__BOOLEAN,0.002,2992
COMPLEX_DELETE,forest__BOOLEAN,0.002,100
FREQUENCY_TEST,forest__BOOLEAN,0.002,10000
BOOLEAN_CONDITION,forest__BOOLEAN,0.002,100
SELECT,forest__BOOLEAN,0.003,4007
COMPLEX_SELECT,forest__BOOLEAN,0.002,100
DELETE,forest__BOOLEAN,0.007,988
COMPLEX_UPDATE,forest__BOOLEAN,0.004,100
SEQUENTIAL_TEST,forest__BOOLEAN,0.002,1000
RANGE_TEST,forest__BOOLEAN,0.109,100
UPDATE,forest__BOOLEAN,0.010,3028
INSERT,forest__BOOLEAN,0.003,3003
COMPLEX_DELETE,forest__BOOLEAN,0.003,100
FREQUENCY_TEST,forest__BOOLEAN,0.003,10000
BOOLEAN_CONDITION,forest__BOOLEAN,0.002,100
SELECT,forest__BOOLEAN,0.004,3981
COMPLEX_SELECT,forest__DATE,0.003,100
DELETE,forest__DATE,0.006,1032
COMPLEX_UPDATE,forest__DATE,0.004,100
SEQUENTIAL_TEST,forest__DATE,0.002,1000
DATE_CONDITION,forest__DATE,0.005,100
RANGE_TEST,forest__DATE,0.120,100
UPDATE,forest__DATE,0.013,3045
INSERT,forest__DATE,0.003,2941
COMPLEX_DELETE,forest__DATE,0.003,100
FREQUENCY_TEST,forest__DATE,0.003,10000
SELECT,forest__DATE,0.005,3982
COMPLEX_SELECT,forest__DATE,0.002,100
DELETE,forest__DATE,0.007,984
COMPLEX_UPDATE,forest__DATE,0.004,100
SEQUENTIAL_TEST,forest__DATE,0.001,1000
DATE_CONDITION,forest__DATE,0.002,100
RANGE_TEST,forest__DATE,0.107,100
UPDATE,forest__DATE,0.007,3071
INSERT,forest__DATE,0.003,2963
COMPLEX_DELETE,forest__DATE,0.002,100
FREQUENCY_TEST,forest__DATE,0.002,10000
SELECT,forest__DATE,0.004,3982
COMPLEX_SELECT,forest__DATE,0.002,100
DELETE,forest__DATE,0.007,1006
COMPLEX_UPDATE,forest__DATE,0.004,100
SEQUENTIAL_TEST,forest__DATE,0.002,1000
DATE_CONDITION,forest__DATE,0.002,100
RANGE_TEST,forest__DATE,0.088,100
UPDATE,forest__DATE,0.009,3018
INSERT,forest__DATE,0.003,2923
COMPLEX_DELETE,forest__DATE,0.003,100
FREQUENCY_TEST,forest__DATE,0.002,10000
SELECT,forest__DATE,0.005,4053
